Номер удаленного элемента      Удаленное число                Время работы в наносекундах    Количество итераций
962                            8663                           800                            12                            
963                            3271                           900                            12                            
964                            5423                           900                            12                            
965                            579                            2800                           23                            
966                            7456                           3500                           23                            
967                            1552                           4000                           23                            
968                            376                            700                            12                            
969                            2911                           800                            12                            
970                            929                            800                            12                            
971                            6524                           2400                           23                            
972                            2231                           1100                           12                            
973                            5395                           300                            12                            
974                            788                            800                            12                            
975                            3678                           1000                           12                            
976                            2374                           2600                           23                            
977                            5789                           1200                           12                            
978                            3805                           700                            12                            
979                            985                            2900                           23                            
980                            5692                           2800                           23                            
981                            5304                           800                            12                            
982                            4529                           300                            12                            
983                            5675                           400                            12                            
984                            2103                           800                            12                            
985                            6160                           400                            12                            
986                            3273                           500                            12                            
987                            3788                           500                            12                            
988                            2715                           600                            12                            
989                            8153                           4400                           23                            
990                            863                            600                            12                            
991                            7542                           600                            12                            
992                            4412                           3200                           23                            
993                            3652                           900                            12                            
994                            588                            500                            12                            
995                            7955                           2900                           23                            
996                            2496                           600                            12                            
997                            2136                           2800                           23                            
998                            8419                           700                            12                            
999                            8585                           1500                           12                            
1000                           3004                           1200                           12                            
Среднее время удаления: 1943 наносекунд
Среднее количество итераций при удалении: 15 итераций
