Номер удаленного элемента      Удаленное число                Время работы в наносекундах    Количество итераций
219                            3035                           1900                           12                            
220                            3869                           600                            12                            
221                            5950                           900                            12                            
222                            8516                           6500                           23                            
223                            3965                           1200                           12                            
224                            4364                           1700                           12                            
225                            5343                           500                            12                            
226                            2348                           800                            12                            
227                            6079                           400                            12                            
228                            1216                           300                            12                            
229                            2917                           400                            12                            
230                            6888                           600                            12                            
231                            4390                           4500                           23                            
232                            8467                           1600                           12                            
233                            8431                           300                            12                            
234                            2079                           1000                           12                            
235                            5711                           1000                           12                            
236                            9302                           3500                           23                            
237                            988                            1200                           12                            
238                            2689                           4500                           23                            
239                            4559                           1100                           12                            
240                            1818                           700                            12                            
241                            1843                           700                            12                            
242                            2387                           600                            12                            
243                            8478                           6400                           23                            
244                            8740                           3900                           23                            
245                            6343                           900                            12                            
246                            6846                           4600                           23                            
247                            7839                           800                            12                            
248                            475                            300                            12                            
249                            338                            5100                           23                            
250                            9410                           4300                           23                            
251                            4325                           600                            12                            
252                            8088                           2800                           23                            
253                            4987                           600                            12                            
254                            6346                           3700                           23                            
255                            9408                           5200                           23                            
256                            5760                           2000                           12                            
257                            1340                           500                            12                            
258                            6729                           1700                           12                            
259                            2350                           19100                          23                            
260                            6759                           8000                           23                            
261                            3124                           1800                           12                            
262                            1833                           3700                           23                            
263                            724                            5800                           23                            
264                            3786                           8700                           23                            
265                            514                            1700                           12                            
266                            419                            6100                           23                            
267                            2349                           4500                           23                            
268                            5380                           1900                           12                            
269                            7871                           1700                           12                            
270                            2949                           7600                           23                            
271                            9250                           3900                           23                            
272                            7691                           5800                           23                            
273                            6076                           600                            12                            
274                            7872                           500                            12                            
275                            4366                           900                            12                            
276                            1391                           1500                           12                            
277                            7354                           1200                           12                            
278                            7866                           600                            12                            
279                            4059                           500                            12                            
280                            3859                           700                            12                            
281                            4794                           800                            12                            
282                            8382                           700                            12                            
283                            4746                           7300                           23                            
284                            7633                           700                            12                            
285                            1527                           400                            12                            
286                            5355                           5500                           23                            
287                            6582                           800                            12                            
288                            6682                           1100                           12                            
289                            481                            600                            12                            
290                            2003                           52400                          23                            
291                            7646                           6100                           12                            
292                            7673                           900                            12                            
293                            1251                           12700                          23                            
294                            1145                           800                            12                            
295                            8338                           18900                          23                            
296                            498                            600                            12                            
297                            4825                           8500                           23                            
298                            4498                           1300                           12                            
299                            5544                           400                            12                            
300                            7135                           1500                           12                            
301                            3430                           1700                           12                            
302                            4812                           5700                           23                            
303                            751                            5500                           23                            
304                            6961                           14900                          23                            
305                            9041                           6300                           23                            
306                            3599                           2400                           12                            
307                            1383                           700                            12                            
308                            2391                           400                            12                            
309                            843                            400                            12                            
310                            3500                           900                            12                            
311                            5934                           1100                           12                            
312                            3444                           5400                           23                            
313                            5826                           1900                           12                            
314                            978                            300                            12                            
315                            1611                           2200                           12                            
316                            1524                           400                            12                            
317                            164                            1300                           12                            
318                            9148                           1100                           12                            
319                            448                            4700                           23                            
320                            3170                           1800                           12                            
321                            7219                           5400                           23                            
322                            4561                           600                            12                            
323                            9059                           3700                           23                            
324                            1722                           15700                          23                            
325                            4940                           500                            12                            
326                            6482                           11900                          23                            
327                            4472                           500                            12                            
328                            8398                           11500                          23                            
329                            6737                           4000                           23                            
330                            3544                           1000                           12                            
331                            8139                           600                            12                            
332                            4392                           400                            12                            
333                            313                            700                            12                            
334                            9632                           5200                           23                            
335                            483                            400                            12                            
336                            6574                           500                            12                            
337                            1211                           1000                           12                            
338                            8990                           400                            12                            
339                            4944                           3200                           23                            
340                            6197                           2800                           23                            
341                            7432                           3600                           23                            
342                            1596                           400                            12                            
343                            6912                           700                            12                            
344                            6822                           1900                           23                            
345                            5941                           400                            12                            
346                            3373                           1000                           12                            
347                            3415                           400                            12                            
348                            3631                           800                            12                            
349                            7233                           1200                           12                            
350                            7611                           300                            12                            
351                            5263                           800                            12                            
352                            792                            600                            12                            
353                            9258                           3200                           23                            
354                            2833                           1100                           12                            
355                            4482                           1000                           12                            
356                            2618                           3900                           23                            
357                            9505                           20300                          23                            
358                            4536                           600                            12                            
359                            2104                           1700                           12                            
360                            5009                           3900                           23                            
361                            8182                           600                            12                            
362                            3184                           2000                           12                            
363                            1289                           800                            12                            
364                            7872                           700                            12                            
365                            4183                           3300                           23                            
366                            8710                           900                            12                            
367                            6912                           900                            12                            
368                            6071                           300                            12                            
369                            8265                           12800                          23                            
370                            8446                           700                            12                            
371                            3959                           6000                           23                            
372                            7814                           1000                           12                            
373                            7701                           600                            12                            
374                            1306                           3700                           23                            
375                            9026                           3100                           23                            
376                            9026                           300                            12                            
377                            8584                           4300                           23                            
378                            4916                           700                            12                            
379                            4474                           3500                           23                            
380                            1997                           600                            12                            
381                            4563                           2400                           23                            
382                            9005                           300                            12                            
383                            327                            900                            12                            
